swell1_height-surface,swell1_direction-surface,swell1_period-surface,swell2_height-surface,swell2_direction-surface,swell2_period-surface,wind_u-surface,wind_v-surface,gust-surface,temp-surface,past3hprecip-surface,past3hsnowprecip-surface,past3hconvprecip-surface,ptype-surface,lclouds-surface,rh-surface,sg,timestamp,location
0.418655611,289.8473415,6.036280881,0.375311036,261.8288888,7.622429032,0.038837782,-1.467926704,1.707662196,284.6209411,0,0,0,0,0,66.01519468,0.2,"Saturday, April 05, 2025 04:00:00",A
0.446536462,305.6980645,7.048040024,0.372106934,253.2031275,10.09124562,-1.805142821,-0.841904373,2.970065599,289.4531597,0,0,0,0,0,49.60056142,-0.71,"Saturday, April 05, 2025 07:00:00",B
0.459216849,308.4729881,8.000383327,0.351912275,203.0683456,13.10794097,-0.984782958,-0.197890693,2.748510269,291.5079013,0,0,0,0,0,44.96368627,-0.77,"Saturday, April 05, 2025 10:00:00",A
0.401615091,273.4211811,8.468786994,0.344863251,208.4282992,12.4385446,1.490393509,0.240930517,2.198775864,292.1142978,0,0,0,0,0,45.59562816,-0.12,"Saturday, April 05, 2025 01:00:00",B
0.400535058,258.7955589,9.27352308,0.3447442,216.303188,11.84274579,0.78970252,-0.455535501,1.16623563,287.6334256,0,0,0,0,0,62.79399506,0.35,"Saturday, April 05, 2025 04:00:00",A
0.417695582,298.6717856,7.583380667,0.351912275,230.7285452,10.65599333,-1.513735252,-1.067313819,2.018869727,285.8301341,0,0,0,0,0,71.21265993,0.11,"Saturday, April 05, 2025 07:00:00",B
0.384294562,259.5554405,8.39574227,0.345032275,218.386523,12.3034297,-1.896710686,-1.599186946,2.564482563,285.6980634,0,0,0,0,0,70.70508817,0.13,"Saturday, April 05, 2025 10:00:00",A
0.39701495,258.8027223,8.184797841,0.332032882,201.4226753,12.77025316,-2.42842465,-1.335372492,2.974756552,285.2954075,0,0,0,0,0,66.85169286,0.47,"Sunday, April 06, 2025 01:00:00",B
0.480977513,267.0693075,8.992546894,0.332032882,196.0142045,13.0181662,-2.305334603,-1.172922415,2.753828839,286.7482603,0,0,0,0,0,60.44730198,0.45,"Sunday, April 06, 2025 04:00:00",A
0.637582292,271.3701468,9.145457837,0.335349421,228.03734,13.01102613,-2.084349586,0.735816827,3.256485487,292.5796234,0,0,0,0,0,40.28743712,-0.4,"Sunday, April 06, 2025 07:00:00",B
0.740625437,271.9697549,10.02246284,0.496586285,265.6195074,12.77026207,1.498843391,1.904146854,3.389708553,294.8028454,0,0,0,0,0,31.444553,-0.82,"Sunday, April 06, 2025 10:00:00",A
1.059515168,275.3015705,12.40235203,0.311888195,193.9118845,12.63602594,2.160695839,1.563543087,3.751073695,292.7425372,0,0,0,0,0,37.2294257,-0.32,"Sunday, April 06, 2025 01:00:00",B
1.166118422,274.7800995,11.86327057,0.301820996,193.0813807,12.59889762,0.446286959,0.996360127,1.199162886,288.1109886,0,0,0,0,0,49.73294412,0.38,"Sunday, April 06, 2025 04:00:00",A
